,ranking,critic_score,title,number_of_critic_ratings,audience_score,num_audience_ratings
0,53,100,12 Angry Men (Twelve Angry Men) (1957),49,97,103672
1,29,96,12 Years a Slave (2013),316,90,138789
2,22,98,A Hard Day's Night (1964),104,89,50067
3,60,98,A Streetcar Named Desire (1951),54,90,54761
4,48,97,Alien (1979),104,94,457186
5,7,100,All About Eve (1950),64,94,44564
6,56,100,All Quiet on the Western Front (1930),40,89,17768
7,89,98,Apocalypse Now (1979),80,94,284606
8,40,96,Argo (2012),313,90,207373
9,57,97,Army of Shadows (L'Armée des ombres) (1969),73,94,7011
10,58,94,Arrival (2016),333,82,78740
11,59,93,Baby Driver (2017),283,89,48114
12,100,100,Battleship Potemkin (1925),45,85,18709
13,49,98,Bicycle Thieves (Ladri di biciclette) (1949),56,94,33723
14,15,98,Boyhood (2014),283,81,88478
15,74,97,Brooklyn (2015),243,87,45763
16,16,97,Casablanca (1942),74,95,355952
17,2,100,Citizen Kane (1941),75,90,157274
18,64,99,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),74,94,208215
19,26,93,Dunkirk (2017),337,82,53555
20,11,98,E.T. The Extra-Terrestrial (1982),114,72,32313030
21,73,99,Finding Nemo (2003),256,86,33355673
22,65,100,Frankenstein (1931),45,87,41140
23,4,99,Get Out (2017),282,87,63837
24,78,94,Gone With the Wind (1939),83,93,292794
25,30,96,Gravity (2013),315,80,301261
26,93,96,Harry Potter and the Deathly Hallows - Part 2 (2011),314,89,389431
27,83,97,Hell or High Water (2016),237,88,37738
28,88,96,High Noon (1952),50,89,25065
29,8,98,Inside Out (2015),324,89,133558
30,13,98,It Happened One Night (1934),52,93,33106
31,97,97,Jaws (1975),74,90,942217
32,32,98,King Kong (1933),54,86,89669
33,77,99,L.A. Confidential (1997),108,94,149772
34,23,97,La Grande illusion (Grand Illusion) (1938),63,92,11490
35,86,92,La La Land (2016),358,82,67325
36,19,100,Laura (1944),60,91,10481
37,55,93,Logan (2017),309,91,86540
38,45,100,M (1931),51,86,123937
39,5,97,Mad Max: Fury Road (2015),370,87,29827
40,96,100,Man on Wire (2008),156,77,48189
41,63,96,Manchester by the Sea (2016),278,92,62018
42,10,99,Metropolis (1927),116,95,39736
43,12,100,Modern Times (1936),53,80,41956
44,17,98,Moonlight (2016),292,95,35778
45,24,100,North by Northwest (1959),65,94,78793
46,20,97,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",62,87,47463
47,90,98,On the Waterfront (1954),61,95,51664
48,81,100,Open City (1946),41,92,6128
49,84,100,Pinocchio (1940),45,72,278682
50,18,97,Psycho (1960),86,94,238259
51,35,100,Rashômon (1951),50,93,47657
52,36,100,Rear Window (1954),63,95,149458
53,71,100,Rebecca (1940),48,92,39026
54,28,100,Repulsion (1965),60,87,18655
55,95,98,Roman Holiday (1953),52,94,62895
56,72,99,Rosemary's Baby (1968),69,87,72669
57,37,99,Selma (2015),236,86,60533
58,50,100,Seven Samurai (Shichinin no Samurai) (1956),57,97,90049
59,14,100,Singin' in the Rain (1952),49,95,137643
60,80,93,Skyfall (2012),349,86,372497
61,21,98,Snow White and the Seven Dwarfs (1937),47,78,469510
62,33,96,Spotlight (2015),311,93,68142
63,87,95,Star Trek (2009),336,91,746458
64,62,92,Star Wars: Episode VII - The Force Awakens (2015),370,89,222789
65,31,98,Sunset Boulevard (1950),60,95,52783
66,38,99,Taxi Driver (1976),77,93,258405
67,76,98,The 39 Steps (1935),44,86,23647
68,54,100,The 400 Blows (Les Quatre cents coups) (1959),54,94,38368
69,34,100,The Adventures of Robin Hood (1938),45,89,33584
70,69,98,The Babadook (2014),214,72,37024
71,25,99,The Battle of Algiers (La Battaglia di Algeri) (1967),83,95,14267
72,42,98,The Big Sick (2017),217,90,23391
73,43,100,The Bride of Frankenstein (1935),41,87,24471
74,6,100,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),49,89,27163
75,70,100,The Conformist (1970),50,91,8529
76,67,94,The Dark Knight (2008),325,94,1827436
77,9,99,The Godfather (1972),85,97,409574
78,99,97,"The Godfather, Part II (1974)",72,98,730433
79,79,97,"The Good, the Bad and the Ugly (1966)",68,97,238420
80,94,100,The Grapes of Wrath (1940),43,88,23954
81,85,95,The Jungle Book (2016),284,86,92856
82,92,100,The Last Picture Show (1971),51,90,13893
83,27,100,The Maltese Falcon (1941),50,91,57268
84,61,98,The Night of the Hunter (1955),64,90,24322
85,47,100,The Philadelphia Story (1940),54,93,46810
86,3,100,The Third Man (1949),77,93,53081
87,51,100,The Treasure of the Sierra Madre (1948),45,93,25627
88,91,100,The Wages of Fear (1953),40,95,8536
89,1,99,The Wizard of Oz (1939),110,89,874425
90,75,98,The Wrestler (2008),222,88,139795
91,82,100,Tokyo Story (Tôkyô monogatari) (1953),42,93,11325
92,68,96,Touch of Evil (1958),70,92,30867
93,98,100,Toy Story (1995),78,86,998186
94,41,100,Toy Story 2 (1999),163,89,605098
95,39,99,Toy Story 3 (2010),291,92,1107731
96,52,98,Up (2009),286,90,1201878
97,66,97,Vertigo (1958),64,93,101454
98,46,92,Wonder Woman (2017),333,90,112955
99,44,98,Zootopia (2016),249,92,98633
